TransactionID,SubscriberKey,MemberID,ContractID,Quantity,CreatedDate,JournalType,JournalSubType,Status
fRxbZ7d205,SUBK55987,MBR22807,CT111761,8100,06-03-2024 09:13:15,Rendención,Cross Selling,Completado
ZsXyd03c45,SUBK60439,MBR13093,CT120612,4000,22-09-2023 05:34:46,Acumulación,Bienvenida,En proceso
NkeBdad5de,SUBK48354,MBR45547,CT96534,3500,27-05-2024 15:45:22,Acumulación,Bienvenida,Completado
blWcx14e85,SUBK24289,MBR80179,CT48718,8250,24-05-2024 09:39:01,Acumulación,MGM,Completado
EVnZo9f42a,SUBK23547,MBR65372,CT47260,2350,14-01-2024 10:29:07,Acumulación,MGM,En proceso
IjSVV5cc65,SUBK72412,MBR52139,CT144405,6100,10-10-2024 22:00:17,Acumulación,Bienvenida,En proceso
KcpTD0f758,SUBK75184,MBR27450,CT149917,5050,15-12-2024 14:44:37,Acumulación,Bienvenida,Completado
iCyqI6395d,SUBK45772,MBR57244,CT91398,7750,03-11-2024 03:59:42,Acumulación,Bienvenida,En proceso
PQbcn9d1e9,SUBK32846,MBR85609,CT65742,2650,21-11-2024 16:26:29,Acumulación,Cross Selling,Completado
wiOue28d10,SUBK61977,MBR68552,CT123667,350,06-10-2024 05:45:00,Acumulación,Bienvenida,Completado
OuMlae5a5d,SUBK52722,MBR65577,CT105256,4900,24-01-2023 05:26:37,Acumulación,Bienvenida,En proceso
oUgvDce625,SUBK21288,MBR87121,CT42679,5750,24-09-2023 10:57:21,Rendención,Cross Selling,En proceso
DmUzR9ac67,SUBK75371,MBR62205,CT150289,9700,06-03-2023 22:44:57,Acumulación,Bienvenida,Completado
GaOzPcccb5,SUBK52746,MBR27608,CT105300,3550,07-09-2024 18:49:24,Acumulación,Cross Selling,En proceso
rTomg1d521,SUBK85510,MBR71826,CT170574,8000,13-02-2023 00:58:42,Acumulación,MGM,En proceso
IdXMObb826,SUBK4799,MBR33262,CT09629,2450,17-10-2023 15:05:37,Acumulación,Cross Selling,En proceso
LbIaBe146d,SUBK60992,MBR56783,CT121703,450,23-03-2024 17:01:52,Acumulación,MGM,Completado
ejznV70c07,SUBK89105,MBR42092,CT177778,7400,06-12-2023 03:44:30,Rendención,Bienvenida,En proceso
uZtVo62fd3,SUBK31458,MBR29309,CT62971,6700,15-12-2024 22:44:05,Acumulación,Bienvenida,Completado
KcIHia48c7,SUBK12204,MBR51487,CT24547,5100,19-04-2024 07:23:46,Acumulación,Cross Selling,En proceso
gzMlp3820d,SUBK6256,MBR44852,CT12573,4550,01-07-2024 20:01:47,Acumulación,Bienvenida,En proceso
zypjF415e9,SUBK36050,MBR28038,CT72079,4350,19-04-2023 18:54:50,Rendención,MGM,Completado
FLZzT5a702,SUBK72938,MBR17914,CT145461,8700,16-10-2024 16:15:17,Rendención,Bienvenida,Completado
AgZjO0d3b5,SUBK2349,MBR21484,CT04708,3800,28-05-2023 22:37:14,Rendención,MGM,Completado
poPTC6cab8,SUBK86126,MBR45834,CT171796,2100,03-04-2024 19:23:57,Acumulación,MGM,En proceso
yCtxh57f30,SUBK27845,MBR14801,CT55852,1550,03-03-2023 18:07:38,Acumulación,MGM,En proceso
ddTnL3b7fa,SUBK25027,MBR32126,CT50166,600,16-08-2024 10:43:32,Rendención,Cross Selling,En proceso
dEeErd5dff,SUBK48741,MBR62539,CT97287,9600,19-12-2024 15:12:55,Acumulación,Bienvenida,Completado
BMJVQb9049,SUBK84830,MBR64384,CT169231,2800,01-03-2024 09:22:13,Acumulación,Cross Selling,En proceso
ecCoL31cda,SUBK37850,MBR20262,CT75538,7250,17-06-2023 04:00:52,Rendención,Cross Selling,En proceso
tsRdC42243,SUBK81574,MBR29919,CT162719,7300,12-08-2024 20:43:19,Rendención,Bienvenida,En proceso
eKbGb2f95b,SUBK17177,MBR49663,CT34541,4400,10-06-2023 21:34:16,Rendención,Bienvenida,Completado
nOMcce4aab,SUBK63689,MBR77270,CT127028,550,04-05-2023 15:43:29,Rendención,Bienvenida,Completado
HCxyxdaba5,SUBK65720,MBR17113,CT131081,2600,02-03-2023 10:01:31,Acumulación,MGM,Completado
xdvkra33e3,SUBK22589,MBR36109,CT45308,4300,22-05-2023 07:39:23,Acumulación,Cross Selling,En proceso
Npytya7d5a,SUBK52946,MBR50208,CT105709,8900,07-05-2023 20:45:23,Rendención,Cross Selling,En proceso
gmttn432cc,SUBK42398,MBR54906,CT84652,6600,25-02-2023 13:10:23,Rendención,MGM,Completado
nPMIq56cee,SUBK28676,MBR26334,CT57470,1750,01-02-2024 02:22:25,Rendención,Bienvenida,En proceso
mlljBf3c31,SUBK82785,MBR30393,CT165116,7350,03-08-2024 01:12:28,Acumulación,Cross Selling,En proceso
kGSEff4e13,SUBK8415,MBR45226,CT16908,250,28-09-2023 23:03:04,Rendención,Bienvenida,En proceso
TxhAq043d4,SUBK29354,MBR15184,CT58844,8050,11-07-2023 05:50:53,Acumulación,Cross Selling,En proceso
FQRnh48175,SUBK6201,MBR50598,CT12459,4400,14-05-2023 13:25:59,Acumulación,MGM,En proceso
